CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00099683000186;POSTO SÃO JOSÉ LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;07/02/1994;04/08/2014;Alto;MIGUEL ALVES;PIAUI;-4,171083;-42,9125;Ativa;21/03/2026 20:27
00100823000199;N & P CONSTRUÇOES LTDA-ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/07/1994;;Médio;LUIS CORREIA;PIAUI;-2,888056;-41,639694;Ativa;21/03/2026 20:27
00100823000199;N & P CONSTRUÇOES LTDA-ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;29/06/1994;29/06/2018;Médio;LUIS CORREIA;PIAUI;-2,888056;-41,639694;Ativa;21/03/2026 20:27
00100823000199;N & P CONSTRUÇOES LTDA-ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;LUIS CORREIA;PIAUI;-2,888056;-41,639694;Ativa;21/03/2026 20:27
00106230000130;MARIA AMELIA ROCHA FERNANDES DE ANDRADE ME;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/07/2002;15/08/2013;Médio;PARNAIBA;PIAUI;;;Encerrado;21/03/2026 20:27
00106230000130;MARIA AMELIA ROCHA FERNANDES DE ANDRADE ME;16;Indústria de Produtos Alimentares e Bebidas;3;Fabricação de conservas;01/07/2002;16/10/2002;Médio;PARNAIBA;PIAUI;;;Encerrado;21/03/2026 20:27
00109077000102;POSTÃO COMÉRCIO E TRANSPORTE DE COMBUSTÍVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;20/07/2015;;Alto;TERESINA;PIAUI;-4,960639;-42,852278;Ativa;21/03/2026 20:27
00109077000102;POSTÃO COMÉRCIO E TRANSPORTE DE COMBUSTÍVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;20/07/2015;;Alto;TERESINA;PIAUI;-4,960639;-42,852278;Ativa;21/03/2026 20:27
00109077000285;POSTÃO COMERCIO E TRANSPORTE DE COMBUSTIVEIS LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/08/2017;;Alto;TERESINA;PIAUI;-5,126508;-42,797156;Ativa;21/03/2026 20:27
00109077000366;POSTAO COMERCIO E TRANSPORTE DE COMBUSTIVEIS EIRELI;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;29/06/2018;10/09/2025;Alto;TERESINA;PIAUI;-5,054178;-42,779422;Encerrado;21/03/2026 20:27
00109081000162;AGRIFERTIL AGRICOLA E VETERINARIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;08/12/2007;;...;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00115652000171;LEONILDA FERNANDES QUEIROZ;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;29/06/2018;;Alto;SAO JOAO DA FRONTEIRA;PIAUI;-3,989206;-41,34265;Ativa;21/03/2026 20:27
00115652000171;LEONILDA FERNANDES QUEIROZ;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;19/07/1994;29/06/2018;Alto;SAO JOAO DA FRONTEIRA;PIAUI;-3,989206;-41,34265;Ativa;21/03/2026 20:27
00121065000195;COELHO & PIMENTEL LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;01/09/2011;;...;CANTO DO BURITI;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00122241000103;COLON EQUIPAMENTOS RODOVIARIOS LTDA;6;Indústria de Material de Transporte;1;Fabricação e montagem de veículos rodoviários e ferroviários, peças e acessórios;26/07/1994;;Médio;TERESINA;PIAUI;-5,123306;-42,8075;Ativa;21/03/2026 20:27
00126736000100;ORTOPEDIA CONTINENTAL LTDA ME;5;Indústria de material Elétrico, Eletrônico e Comunicações;2;Fabricação de material elétrico, eletrônico e equipamentos para telecomunicação e informática;01/07/2002;23/07/2002;Médio;TERESINA;PIAUI;-5,133333;-42,979722;Ativa;21/03/2026 20:27
00126736000100;ORTOPEDIA CONTINENTAL LTDA ME;5;Indústria de material Elétrico, Eletrônico e Comunicações;3;Fabricação de aparelhos elétricos e eletrodomésticos;01/07/2002;;Médio;TERESINA;PIAUI;-5,133333;-42,979722;Ativa;21/03/2026 20:27
00136196000146;GURGUEIA COMBUSTIVEL LTDA - EPP;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;21/03/2015;06/10/2025;Alto;COLONIA DO GURGUEIA;PIAUI;-8,181944;-43,791944;Encerrado;21/03/2026 20:27
00136196000146;GURGUEIA COMBUSTIVEL LTDA - EPP;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;06/10/2025;Alto;COLONIA DO GURGUEIA;PIAUI;-8,181944;-43,791944;Encerrado;21/03/2026 20:27
00136196000146;GURGUEIA COMBUSTIVEL LTDA - EPP;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/01/2001;29/06/2018;Alto;COLONIA DO GURGUEIA;PIAUI;-8,181944;-43,791944;Encerrado;21/03/2026 20:27
00136196000146;GURGUEIA COMBUSTIVEL LTDA - EPP;18;Transporte, Terminais, Depósitos e Comércio;74;Transporte de cargas perigosas - Lei nº 12.305/2010;09/08/2021;06/10/2025;Alto;COLONIA DO GURGUEIA;PIAUI;-8,181944;-43,791944;Encerrado;21/03/2026 20:27
00150838000161;S L GOMES CONSTRUCAO - ME;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;18/08/1994;29/06/2018;...;TERESINA;PIAUI;-5,058333;-42,837222;Encerrado;21/03/2026 20:27
00159728000160;RONALDO BATISTA DA SILVA ME;2;Indústria de Produtos Minerais Não Metálicos;1;Beneficiamento de minerais não metálicos, não associados a extração;01/10/2002;17/02/2023;Médio;BOM JESUS;PIAUI;;;Encerrado;21/03/2026 20:27
00166889000181;HELVECIO RODRIGUES DE ARRUDA ME - MADEREIRA ARRUDA;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;26/08/1994;29/06/2018;...;PARNAIBA;PIAUI;-2,920917;-41,750889;Encerrado;21/03/2026 20:27
00166889000181;HELVECIO RODRIGUES DE ARRUDA ME - MADEREIRA ARRUDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;26/08/1994;25/06/2025;...;PARNAIBA;PIAUI;-2,920917;-41,750889;Encerrado;21/03/2026 20:27
00166904000191;EDSON TELES DA PONTE - ME CERAMICA SANTA GLORIA;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;01/01/2005;;Médio;BARRAS;PIAUI;-4,252778;-42,276389;Ativa;21/03/2026 20:27
00166904000191;EDSON TELES DA PONTE - ME CERAMICA SANTA GLORIA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;;Médio;BARRAS;PIAUI;-4,252778;-42,276389;Ativa;21/03/2026 20:27
00166904000191;EDSON TELES DA PONTE - ME CERAMICA SANTA GLORIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;09/05/2012;;...;BARRAS;PIAUI;-4,252778;-42,276389;Ativa;21/03/2026 20:27
00166969000137;R. R. Cavalcante comercio - ME;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;19/12/2006;29/06/2018;...;DOM INOCENCIO;PIAUI;;;Encerrado;21/03/2026 20:27
00166985000120;SANTANA TEIXEIRA E CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;15/04/1996;25/01/2016;Alto;OEIRAS;PIAUI;-7,016667;-42,2;Encerrado;21/03/2026 20:27
00176002000136;A M S CAVALCANTE ME;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/10/2003;;Médio;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00176002000136;A M S CAVALCANTE ME;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/10/2003;;Médio;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00177910000144;M I R PORTELA ME;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/01/2005;;Médio;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00178313000134;maria do socorro leal moura fe me;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;06/09/1994;29/06/2018;Médio;CONCEICAO DO CANINDE;PIAUI;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00178313000134;maria do socorro leal moura fe me;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;CONCEICAO DO CANINDE;PIAUI;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00181918000184;ANTONIO JOSE GONCALVES GUIMARAES;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;06/09/1994;;Médio;OEIRAS;PIAUI;-7,025278;-42,131083;Ativa;21/03/2026 20:27
00181918000184;ANTONIO JOSE GONCALVES GUIMARAES;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;31/08/2023;;Alto;OEIRAS;PIAUI;-7,025278;-42,131083;Ativa;21/03/2026 20:27
00181918000184;ANTONIO JOSE GONCALVES GUIMARAES;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;06/09/1994;29/06/2018;Médio;OEIRAS;PIAUI;-7,025278;-42,131083;Ativa;21/03/2026 20:27
00181918000184;ANTONIO JOSE GONCALVES GUIMARAES;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;31/08/2023;;...;OEIRAS;PIAUI;-7,025278;-42,131083;Ativa;21/03/2026 20:27
00181918000184;ANTONIO JOSE GONCALVES GUIMARAES;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;OEIRAS;PIAUI;-7,025278;-42,131083;Ativa;21/03/2026 20:27
00195936000115;CERAMICA ARTESANAL SERRA DA CAPIVARA LTDA;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;20/08/1994;;Médio;CORONEL JOSE DIAS;PIAUI;-8,818556;-42,515278;Ativa;21/03/2026 20:27
00195963000198;J A O MOURA INDUSTRIA E COMERCIO;4;Indústria Mecânica;1;Fabricação de máquinas, aparelhos, peças, utensílios e acessórios com e sem tratamento térmico ou de superfície;01/07/2002;25/09/2020;Médio;CAMPO MAIOR;PIAUI;0,0;0,0;Encerrado;21/03/2026 20:27
00197031000184;CARLOS AUGUSTO BARBOSA - EPP;15;Indústria Química;9;Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas;29/06/2018;;Alto;TERESINA;PIAUI;-5,1422;-42,795572;Ativa;21/03/2026 20:27
00197031000184;CARLOS AUGUSTO BARBOSA - EPP;15;Indústria Química;22;fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas - saneantes de uso domissanitários;19/09/1994;29/06/2018;Alto;TERESINA;PIAUI;-5,1422;-42,795572;Ativa;21/03/2026 20:27
00197031000184;CARLOS AUGUSTO BARBOSA - EPP;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;19/09/1994;;Alto;TERESINA;PIAUI;-5,1422;-42,795572;Ativa;21/03/2026 20:27
00198868000148;ADAIL ALVES FERREIRA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;25/11/2011;;...;TERESINA;PIAUI;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00200417000440;laser engenharia e transportes  ltda;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;13/06/2011;;...;TERESINA;PIAUI;0,0;0,0;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00212463000117;CELSO FERREIRA MOTA - ME;1;Extração e Tratamento de Minerais;2;Lavra a céu aberto, inclusive de aluvião, com ou sem beneficiamento;04/07/2011;;Alto;SANTA FILOMENA;PIAUI;-9,173167;-45,8605;Ativa;21/03/2026 20:27
00212463000117;CELSO FERREIRA MOTA - ME;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;04/07/2011;;Médio;SANTA FILOMENA;PIAUI;-9,173167;-45,8605;Ativa;21/03/2026 20:27
00212463000117;CELSO FERREIRA MOTA - ME;18;Transporte, Terminais, Depósitos e Comércio;23;transporte rodoviário de cargas não-perigosas;28/09/1994;11/04/2013;...;SANTA FILOMENA;PIAUI;-9,173167;-45,8605;Ativa;21/03/2026 20:27
00212463000117;CELSO FERREIRA MOTA - ME;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Rodovias, ferrovias, hidrovias, metropolitanos - Lei nº 6.938/1981: art. 10;28/09/1994;;...;SANTA FILOMENA;PIAUI;-9,173167;-45,8605;Ativa;21/03/2026 20:27
00212463000117;CELSO FERREIRA MOTA - ME;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;28/09/1994;;...;SANTA FILOMENA;PIAUI;-9,173167;-45,8605;Ativa;21/03/2026 20:27
00220439000120;FAZENDA IMPÉRIO LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;30/08/2007;;Alto;SAO JULIAO;PIAUI;-5,170639;-42,76775;Ativa;21/03/2026 20:27
00220439000120;FAZENDA IMPÉRIO LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;SAO JULIAO;PIAUI;-5,170639;-42,76775;Ativa;21/03/2026 20:27
00220439000200;FAZENDA IMPÉRIO LTDA - POSTO CINCO;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;21/08/1997;08/07/2020;Alto;PICOS;PIAUI;-7,0775;-41,482194;Encerrado;21/03/2026 20:27
00220439000200;FAZENDA IMPÉRIO LTDA - POSTO CINCO;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;21/08/1997;29/06/2018;Alto;PICOS;PIAUI;-7,0775;-41,482194;Encerrado;21/03/2026 20:27
00220439000391;Q AVELINO NETO - POSTO AVELINO;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/04/2003;08/05/2020;Alto;TERESINA;PIAUI;-7,608306;-43,028306;Encerrado;21/03/2026 20:27
00220439000391;Q AVELINO NETO - POSTO AVELINO;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;19/12/2001;29/06/2018;Alto;TERESINA;PIAUI;-7,608306;-43,028306;Encerrado;21/03/2026 20:27
00220439000472;Q AVELINO NETO;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;03/11/2005;17/03/2020;Alto;RIO GRANDE DO PIAUI;PIAUI;-7,783056;-43,131389;Encerrado;21/03/2026 20:27
