CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
05939467000115;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;17;Serviços de Utilidade;3;"disposição de resíduos especiais tais como: de agroquímicos e suas embalagens; usadas e de serviço de saúde e similares";01/10/2002;09/10/2002;Médio;BOA VISTA;RORAIMA;2,826917;-60,66;Ativa;21/03/2026 20:28
05939467000115;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;17;Serviços de Utilidade;4;Destinação de resíduos de esgotos sanitários e de resíduos sólidos urbanos, inclusive aqueles provenientes de fossas;01/10/2002;;Médio;BOA VISTA;RORAIMA;2,826917;-60,66;Ativa;21/03/2026 20:28
05939467000115;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;17;Serviços de Utilidade;5;Dragagem e derrocamentos em corpos d´água;01/10/2002;09/10/2002;Médio;BOA VISTA;RORAIMA;2,826917;-60,66;Ativa;21/03/2026 20:28
05939467000115;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;17;Serviços de Utilidade;6;recuperação de áreas contaminadas ou degradadas;01/10/2002;09/10/2002;Médio;BOA VISTA;RORAIMA;2,826917;-60,66;Ativa;21/03/2026 20:28
05939467000115;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;17;Serviços de Utilidade;8;estações de tratamento de água;11/08/2014;29/06/2018;...;BOA VISTA;RORAIMA;2,826917;-60,66;Ativa;21/03/2026 20:28
05939467000115;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;33;Estações de tratamento de água - Lei nº 6.938/1981: art. 10;29/06/2018;;...;BOA VISTA;RORAIMA;2,826917;-60,66;Ativa;21/03/2026 20:28
05939533000157;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;01/01/2001;;Alto;BOA VISTA;RORAIMA;2,816719;-60,673494;Ativa;21/03/2026 20:28
05939533000157;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;BOA VISTA;RORAIMA;2,816719;-60,673494;Ativa;21/03/2026 20:28
05939533000157;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/01/2001;29/06/2018;Alto;BOA VISTA;RORAIMA;2,816719;-60,673494;Ativa;21/03/2026 20:28
05939533000238;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;30/01/2007;Alto;BOA VISTA;RORAIMA;;;Encerrado;21/03/2026 20:28
05939533000319;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;01/01/2001;;Alto;BOA VISTA;RORAIMA;2,836061;-60,713947;Ativa;21/03/2026 20:28
05939533000319;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;;Alto;BOA VISTA;RORAIMA;2,836061;-60,713947;Ativa;21/03/2026 20:28
05939533000319;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/01/2001;29/06/2018;Alto;BOA VISTA;RORAIMA;2,836061;-60,713947;Ativa;21/03/2026 20:28
05939533000408;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;16/11/2010;19/02/2016;Alto;BOA VISTA;RORAIMA;;;Encerrado;21/03/2026 20:28
05939533000408;ARNOGAS & CIA LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/02/2001;12/09/2013;Alto;BOA VISTA;RORAIMA;;;Encerrado;21/03/2026 20:28
05939657000132;REBOUÇAS E CIA LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;18/11/2010;;...;BOA VISTA;RORAIMA;2,914072;-60,610781;Ativa;21/03/2026 20:28
05940333000114;MISSÃO EVANGÉLICA DA AMAZÔNIA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;04/11/2010;;...;BOA VISTA;RORAIMA;2,819444;-60,667194;Ativa;21/03/2026 20:28
05941547000105;J. MOACIR DE ALMEIDA - EPP - AUTOPOSTO CHACRINHA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/10/2004;19/04/2023;Alto;CARACARAI;RORAIMA;1,822222;-61,295833;Encerrado;21/03/2026 20:28
