CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
03025974000118;CONSTRUCENTER EIRELI;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;27/07/2005;15/10/2013;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;20;Uso de Recursos Naturais;33;exploração econômica da madeira ou lenha e subprodutos florestais - comércio atacadista;27/07/2005;24/02/2016;Médio;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;13/11/2006;28/09/2013;Médio;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;27/07/2005;13/11/2006;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;4;Importador de Baterias para comercialização de forma direta ou indireta;27/07/2005;13/11/2006;Alto;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;5;Experimentação com agroquímicos - Lei nº 7.802/1989;27/07/2005;13/11/2006;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;52;Centro de triagem e reabilitação - Resolução CONAMA nº 489/2018: art. 4º, II;29/12/2021;;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;53;Manutenção de fauna silvestre ou exótica - Resolução CONAMA nº 489/2018: art. 4º, IX;29/12/2021;;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;10/03/1999;;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03025974000118;CONSTRUCENTER EIRELI;100;Administradora de Projetos Florestais;2;administradora de projetos de florestamento/reflorestamento;27/07/2005;15/10/2013;...;ARAPIRACA;ALAGOAS;-9,676556;-36,705306;Ativa;21/03/2026 20:26
03031394000133;UNIAO COMERCIO LTDA;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;12/02/1999;29/06/2018;...;MACEIO;ALAGOAS;;;Encerrado;21/03/2026 20:26
03039238000119;R. AGRA BERNARDES - ME;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;16/03/1999;;Médio;MACEIO;ALAGOAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
