CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
07604271000103;RIBEIRÃO COMBUSTÍVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;19/10/2011;09/03/2021;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000103;RIBEIRÃO COMBUSTÍVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/04/2006;28/10/2011;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000103;RIBEIRÃO COMBUSTÍVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;20;transporte de cargas perigosas - Protocolo de Montreal;25/05/2010;29/06/2018;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000286;RIBEIRÃO COMBUSTIVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;21/10/2011;;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000286;RIBEIRÃO COMBUSTIVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;29/06/2018;;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000286;RIBEIRÃO COMBUSTIVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;12/08/2011;26/10/2011;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000286;RIBEIRÃO COMBUSTIVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;12/08/2011;;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604271000286;RIBEIRÃO COMBUSTIVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;12/08/2011;29/06/2018;Alto;SERRA TALHADA;PERNAMBUCO;-7,991944;-38,298333;Ativa;21/03/2026 20:27
07604294000100;JOSENILTON S. OLIVEIRA ME;7;Indústria de Madeira;4;Fabricação de estruturas de madeira e de móveis;10/01/2006;08/11/2007;Médio;SERRA TALHADA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07604294000100;JOSENILTON S. OLIVEIRA ME;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;10/01/2006;08/07/2009;...;SERRA TALHADA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07604556000136;EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS SA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;18/05/2012;16/02/2018;...;RECIFE;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07606589000115;VERONICA  LEITE DE ALMEIDA COMBUSTIVEIS;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;19/06/2006;09/05/2013;Alto;ANGELIM;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07606880000193;D & L MATERIAL DE CONSTRUÇAO LTDA - EPP;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);02/09/2005;30/12/2015;Médio;OURICURI;PERNAMBUCO;-7,876667;-40,080278;Encerrado;21/03/2026 20:27
07606880000193;D & L MATERIAL DE CONSTRUÇAO LTDA - EPP;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;02/09/2005;07/04/2007;...;OURICURI;PERNAMBUCO;-7,876667;-40,080278;Encerrado;21/03/2026 20:27
07606880000193;D & L MATERIAL DE CONSTRUÇAO LTDA - EPP;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;02/09/2005;30/12/2015;Médio;OURICURI;PERNAMBUCO;-7,876667;-40,080278;Encerrado;21/03/2026 20:27
07606885000116;LAECIA M F LINS - ME;2;Indústria de Produtos Minerais Não Metálicos;2;Fabricação e elaboração de produtos minerais não metálicos tais como produção de material cerâmico, cimento, gesso, amianto, vidro e similares;19/09/2005;03/06/2024;Médio;TRINDADE;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
