CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00005827000198;HOTEL DAS AMERICAS LTDA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;01/07/1976;29/06/2018;...;JANDAIA;GOIAS;-17,275833;-50,149167;Encerrado;21/03/2026 20:27
00005827000198;HOTEL DAS AMERICAS LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;JANDAIA;GOIAS;-17,275833;-50,149167;Encerrado;21/03/2026 20:27
00005959000110;PREFEITURA MUNICIPAL DE INDIARA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;14/08/2017;16/02/2018;...;INDIARA;GOIAS;-17,138056;-49,988056;Ativa;21/03/2026 20:27
00005959000110;PREFEITURA MUNICIPAL DE INDIARA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;01/01/2017;;...;INDIARA;GOIAS;-17,138056;-49,988056;Ativa;21/03/2026 20:27
00006015000167;AGROPECUARIA ALPHA E.J. LTDA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;01/01/2008;29/06/2018;...;GOIANIA;GOIAS;-15,8875;-50,613306;Encerrado;21/03/2026 20:27
00006015000167;AGROPECUARIA ALPHA E.J. LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;GOIANIA;GOIAS;-15,8875;-50,613306;Encerrado;21/03/2026 20:27
00006874000156;PREFEITURA DE NOVO BRASIL;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;76;Cemitério - Resolução CONAMA nº 335/2003: art. 1º;22/05/2025;;...;NOVO BRASIL;GOIAS;-16,040278;-50,707778;Ativa;21/03/2026 20:27
00007344000122;MUNICIPIO DE AMERICANO DO BRASIL;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;14/05/2021;;...;AMERICANO DO BRASIL;GOIAS;-16,256083;-49,9825;Ativa;21/03/2026 20:27
00009225000109;AUTO POSTO CANTONI  LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;01/01/2001;20/06/2018;Alto;GOIANIA;GOIAS;;;Encerrado;21/03/2026 20:27
00009837000100;MF CONSTRUÇÕES,INCORPORADORA,COMÉRCIO E REPRESENTAÇÕES LTDA-ME;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;03/11/2005;;...;GOIANIA;GOIAS;-16,681192;-49,384275;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;15;Indústria Química;3;Fabricação de combustíveis não derivados de petróleo;01/01/2022;;Alto;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/01/2004;;Médio;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;16;Indústria de Produtos Alimentares e Bebidas;7;Refino e preparação de óleo e gorduras vegetais;28/08/2004;;Médio;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;16;Indústria de Produtos Alimentares e Bebidas;10;Fabricação de rações balanceadas e de alimentos preparados para animais;28/08/2004;;Médio;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;18;Transporte, Terminais, Depósitos e Comércio;5;Depósitos de produtos químicos e produtos perigosos;13/02/2015;;Alto;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2004;;Médio;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;26/01/2017;;...;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000160;CEREAL COM .EXP. E REPRES. AGROPECUÁRIA S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;24/11/2022;;...;RIO VERDE;GOIAS;-17,797167;-50,9;Ativa;21/03/2026 20:27
00012377000322;CEREAL COMÉRCIO EXPORTAÇÃO E REPRESENTAÇÃO AGROPECUÁRIA S/A;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;30/01/2014;;Alto;PALMEIRAS DE GOIAS;GOIAS;-16,805;-49,925806;Ativa;21/03/2026 20:27
00012377000403;CEREAL COMÉRCIO EXPORTAÇÃO E REPRESENTAÇÃO AGROPECUÁRIA S/A;18;Transporte, Terminais, Depósitos e Comércio;80;Depósito de produtos químicos e produtos perigosos - Lei nº 12.305/2010;01/01/2014;16/08/2017;Alto;SANTA HELENA DE GOIAS;GOIAS;-17,827167;-50,576667;Encerrado;21/03/2026 20:27
00012377000594;CEREAL COMERCIO EXPORTAÇÃO E REPRESENTAÇÃO AGROPECUÁRIA S/A;18;Transporte, Terminais, Depósitos e Comércio;1;Transporte de cargas perigosas;24/11/2014;;Alto;RIO VERDE;GOIAS;-17,783306;-50,891389;Ativa;21/03/2026 20:27
