CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00263345000138;TAI ENGENHARIA E CONSTRUÇÕES LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;07/11/2019;;...;MANAUS;AMAZONAS;-3,107222;-60,026111;Ativa;21/03/2026 20:26
00265417000186;BERG WOOD COMERCIO DE MADEIRA LTDA ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;08/11/2012;29/06/2018;Médio;MANAUS;AMAZONAS;-3,008556;-59,943972;Ativa;21/03/2026 20:26
00265417000186;BERG WOOD COMERCIO DE MADEIRA LTDA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;MANAUS;AMAZONAS;-3,008556;-59,943972;Ativa;21/03/2026 20:26
00265426000177;CONCRETA ENGENHARIA E CONSTRUÇOES LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;25/04/2013;;...;MANAUS;AMAZONAS;-3,105044;-60,022978;Ativa;21/03/2026 20:26
00270069000135;MADEIREIRA MANICHI EXP E EXP LTDA.;20;Uso de Recursos Naturais;33;exploração econômica da madeira ou lenha e subprodutos florestais - comércio atacadista;04/10/2008;29/06/2018;Médio;MANAUS;AMAZONAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00270069000135;MADEIREIRA MANICHI EXP E EXP LTDA.;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;04/10/2008;29/06/2018;Médio;MANAUS;AMAZONAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00270069000135;MADEIREIRA MANICHI EXP E EXP LTDA.;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;67;Comércio atacadista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;MANAUS;AMAZONAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00270069000135;MADEIREIRA MANICHI EXP E EXP LTDA.;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;MANAUS;AMAZONAS;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:26
00272357000129;JOFEMAS IMP E EXP LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;26/10/1994;21/03/2022;...;MANAUS;AMAZONAS;-3,075722;-59,995308;Encerrado;21/03/2026 20:26
00280273000137;SAMSUNG ELETRONICA DA AMAZONIA LTDA;5;Indústria de material Elétrico, Eletrônico e Comunicações;2;Fabricação de material elétrico, eletrônico e equipamentos para telecomunicação e informática;01/01/2001;;Médio;MANAUS;AMAZONAS;-3,100278;-59,944167;Ativa;21/03/2026 20:26
